Question No	Question	Options
1	When I feel frightened, it is hard for me to breathe	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
2	I get headaches when I am at school	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
3	I don’t like to be with people I don’t know well	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
4	I get scared if I sleep away from home	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
5	I worry about other people liking me	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
6	When I get frightened, I feel like passing out	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
7	I am nervous	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
8	I follow my mother or father wherever they go	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
9	People tell me that I look nervous	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
10	I feel nervous with people I don’t know well	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
11	My I get stomachaches at school	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
12	When I get frightened, I feel like I am going crazy	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
13	I worry about sleeping alone	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
14	I worry about being as good as other kids	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
15	When I get frightened, I feel like things are not real	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
16	I have nightmares about something bad happening to my parents	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
17	I worry about going to school	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
18	When I get frightened, my heart beats fast	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
19	I get shaky	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
20	I have nightmares about something bad happening to me	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
21	I worry about things working out for me	Not True or Hardly Ever True/Somewhat True or Sometimes True/Very True or Often True
